trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
406,False,"{'a': 0.16635427622614699, 'e': 0.3601347078710562}",20,8,23.036628798092153,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
407,False,"{'a': 0.16628655898262212, 'e': 0.35923437110137857}",25,14,18.522364533575,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
408,False,"{'a': 0.16621906201169442, 'e': 0.35833628517362515}",20,14,13.304000080771587,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
409,False,"{'a': 0.1661517840400685, 'e': 0.3574404444606911}",20,2,31.74757522746265,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
410,False,"{'a': 0.1660847238049714, 'e': 0.3565468433495394}",25,20,10.79838158405622,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
411,False,"{'a': 0.16601788005403986, 'e': 0.35565547624116556}",20,16,7.019712050999947,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
412,False,"{'a': 0.16595125154520893, 'e': 0.3547663375505627}",30,15,27.921231109222333,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
413,False,"{'a': 0.16588483704660195, 'e': 0.3538794217066863}",20,8,21.692630503920324,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
414,False,"{'a': 0.16581863533642238, 'e': 0.3529947231524196}",25,0,38.85864013311497,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
415,False,"{'a': 0.16575264520284677, 'e': 0.3521122363445386}",35,12,48.022644695915616,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
416,False,"{'a': 0.16568686544391886, 'e': 0.3512319557536772}",30,10,35.87574076177539,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
417,False,"{'a': 0.1656212948674457, 'e': 0.35035387586429306}",25,8,32.392173323322226,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
418,False,"{'a': 0.1655559322908945, 'e': 0.34947799117463235}",20,10,19.079379553388524,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
419,False,"{'a': 0.16549077654129118, 'e': 0.3486042961966958}",20,0,34.582710901498345,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
420,False,"{'a': 0.16542582645512008, 'e': 0.34773278545620406}",20,12,16.21161356442865,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
421,False,"{'a': 0.16536108087822513, 'e': 0.3468634534925636}",25,8,30.941394955238668,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
422,False,"{'a': 0.16529653866571187, 'e': 0.34599629485883215}",25,12,26.418048765168585,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
423,False,"{'a': 0.16523219868185138, 'e': 0.34513130412168513}",25,0,35.39207031739753,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",1
424,False,"{'a': 0.16516805979998475, 'e': 0.34426847586138093}",20,14,10.09225205690362,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
425,False,"{'a': 0.16510412090242932, 'e': 0.3434078046717275}",35,18,34.35694604192877,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
426,False,"{'a': 0.16504038088038578, 'e': 0.3425492851600482}",20,15,9.952662342487745,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
427,False,"{'a': 0.16497683863384652, 'e': 0.34169291194714807}",30,24,10.599900894898187,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
428,False,"{'a': 0.16491349307150527, 'e': 0.3408386796672802}",30,13,32.1195361687272,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
429,False,"{'a': 0.1648503431106677, 'e': 0.33998658296811207}",20,9,23.63675297328161,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
430,False,"{'a': 0.1647873876771633, 'e': 0.33913661651069177}",20,13,12.219486580507448,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
431,False,"{'a': 0.16472462570525825, 'e': 0.33828877496941506}",20,11,19.37620744680532,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
432,False,"{'a': 0.1646620561375694, 'e': 0.33744305303199157}",20,11,15.269310021917672,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
433,False,"{'a': 0.1645996779249795, 'e': 0.3365994453994116}",25,14,23.12886102621413,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
434,False,"{'a': 0.16453749002655318, 'e': 0.3357579467859131}",25,5,34.55733361241031,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
435,False,"{'a': 0.16447549140945417, 'e': 0.3349185519189483}",25,11,25.079555166581873,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
436,False,"{'a': 0.16441368104886364, 'e': 0.33408125553915097}",25,16,17.28568539783909,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
